operon_id,type,subtype,length
GCA_947487585.1@6,I,I-F,17541
GCA_947488315.1@13,Unknown,,5114
GCA_947488315.1@20,I,I-F_T,8629
GCA_947488315.1@3,I,I-C,12549
GCA_947488915.1@6,I,I-E,13145
GCA_947495475.1@5,I,I-F,12632
GCA_947496445.1@7,Unknown,,5439
GCA_947498665.1@5,I,I-F,11917
GCA_947500915.1@16,I,I-F,12661
GCA_947500915.1@6,I,I-C,9592
GCA_947501715.1@6,Unknown,,4270
GCA_947501775.1@11,I,I-F,11567
GCA_947501875.1@6,Unknown,,4270
GCA_947502255.1@6,II,II-A,8324
GCA_948329515.1@5,Unknown,,1649
GCA_948472415.1@33,I,I-E,11600
GCA_948472415.1@8,I,I-E,4918
GCA_948472415.1@9,I,I-A,4767
GCA_937024135.1@25,I,I-D,12943
GCA_937024135.1@50,III,III-B,14062
GCA_937425535.1@17,Unknown,,6585
GCA_937425535.1@18,I,I-E,9906
GCA_940588555.1@3,I,I-E,13484
GCA_940670685.1@27,I,I-C,19754
GCA_942636745.2@1,I,I-A,5926
GCA_942637085.2@1,I,I-E,10233
GCA_942637195.1@1,II,II-A,7472
GCA_942637775.2@1,II,II-A,5253
GCA_942640815.1@3,I,I-E,8669
GCA_942640935.1@6,Unknown,,1754
GCA_942640965.1@5,II,II-A,5538
GCA_942641055.1@6,I,I-E,8999
GCA_942641725.1@12,II,II-A,9636
GCA_942641795.1@1,I,I-A,6557
GCA_942641805.2@2,I,I-E,9746
GCA_942641835.1@2,I,I-E,2420
GCA_942641875.2@4,I,I-E,7001
GCA_942641895.1@1,I,I-E,8384
GCA_942642255.2@1,I,I-E,11891
GCA_942642815.2@4,II,II-A,5146
GCA_942643285.2@8,I,I-C,11251
GCA_942643785.2@7,II,II-A,7429
GCA_942643795.1@7,Unknown,,4022
GCA_942643805.2@5,II,II-A,5538
GCA_942644275.2@7,II,II-A,7115
GCA_942644345.1@7,Unknown,,4022
GCA_942644795.2@8,I,I-E,9426
GCA_942646105.1@2,II,II-A,5538
GCA_942646125.2@1,II,II-A,6202
GCA_942646205.2@4,II,II-A,5452
